iter	Passed	Remaining
809	4232	992
810	4237	987
811	4241	982
812	4246	976
813	4252	971
814	4257	966
815	4262	961
816	4268	956
817	4273	950
818	4278	945
819	4285	940
820	4290	935
821	4296	930
822	4304	925
823	4309	920
824	4314	915
825	4320	910
826	4326	904
827	4331	899
828	4338	894
829	4343	889
830	4350	884
831	4356	879
832	4361	874
833	4368	869
834	4374	864
835	4380	859
836	4385	854
837	4391	848
838	4398	844
839	4404	838
840	4409	833
841	4415	828
842	4421	823
843	4427	818
844	4435	813
845	4442	808
846	4450	803
847	4454	798
848	4460	793
849	4465	788
850	4471	782
851	4476	777
852	4482	772
853	4488	767
854	4493	762
855	4500	757
856	4506	751
857	4511	746
858	4517	741
859	4521	736
860	4526	730
861	4532	725
862	4537	720
863	4542	714
864	4551	710
865	4556	705
866	4561	699
867	4566	694
868	4570	689
869	4576	683
870	4582	678
871	4588	673
872	4593	668
873	4598	662
874	4603	657
875	4608	652
876	4614	647
877	4619	641
878	4625	636
879	4633	631
880	4638	626
881	4643	621
882	4649	616
883	4655	610
884	4661	605
885	4668	600
886	4674	595
887	4681	590
888	4687	585
889	4692	579
890	4698	574
891	4704	569
892	4710	564
893	4716	559
894	4722	554
895	4729	548
896	4734	543
897	4739	538
898	4744	533
899	4752	528
900	4758	522
901	4764	517
902	4769	512
903	4774	507
904	4781	501
905	4786	496
906	4791	491
907	4797	486
908	4802	480
909	4806	475
910	4811	470
911	4816	464
912	4822	459
913	4828	454
914	4833	448
915	4837	443
916	4841	438
917	4846	432
918	4850	427
919	4854	422
920	4858	416
921	4863	411
922	4868	406
923	4873	400
924	4879	395
925	4885	390
926	4891	385
927	4898	380
928	4903	374
929	4908	369
930	4914	364
931	4919	358
932	4925	353
933	4932	348
934	4936	343
935	4943	337
936	4948	332
937	4954	327
938	4960	322
939	4965	316
940	4970	311
941	4976	306
942	4981	301
943	4985	295
944	4990	290
945	4995	285
946	5000	279
947	5005	274
948	5011	269
949	5016	264
950	5022	258
951	5028	253
952	5033	248
953	5039	242
954	5045	237
955	5050	232
956	5056	227
957	5062	221
958	5067	216
959	5072	211
960	5078	206
961	5084	200
962	5089	195
963	5095	190
964	5102	185
965	5107	179
966	5113	174
967	5119	169
968	5126	164
969	5132	158
970	5137	153
971	5142	148
972	5146	142
973	5151	137
974	5156	132
975	5161	126
976	5166	121
977	5171	116
978	5177	111
979	5182	105
980	5187	100
981	5191	95
982	5195	89
983	5200	84
984	5205	79
985	5210	73
986	5215	68
987	5220	63
988	5225	58
989	5231	52
990	5236	47
991	5242	42
992	5247	36
993	5252	31
994	5258	26
995	5263	21
996	5268	15
997	5274	10
998	5279	5
999	5284	0
