iter	RMSE
793	1453.633273
794	1449.986518
795	1447.859132
796	1443.920275
797	1441.622816
798	1441.069449
799	1434.531905
800	1432.507669
801	1430.369263
802	1427.181763
803	1425.21987
804	1420.199605
805	1417.648061
806	1415.401721
807	1410.869248
808	1405.473446
809	1403.204946
810	1399.795328
811	1398.371796
812	1397.155241
813	1394.33509
814	1391.989958
815	1385.790597
816	1383.011603
817	1381.543912
818	1376.282981
819	1375.343391
820	1371.908108
821	1370.443379
822	1368.931862
823	1366.216605
824	1362.700177
825	1361.510095
826	1358.797172
827	1355.612619
828	1349.711642
829	1347.098124
830	1343.56647
831	1337.556613
832	1334.931231
833	1332.343895
834	1329.569313
835	1327.474188
836	1324.359952
837	1320.698722
838	1316.836188
839	1314.702876
840	1310.439047
841	1307.537313
842	1303.944764
843	1298.301515
844	1296.416665
845	1291.766498
846	1287.900847
847	1285.557456
848	1284.181238
849	1280.316746
850	1276.841229
851	1270.771045
852	1265.346386
853	1262.328586
854	1258.158812
855	1254.939946
856	1250.172252
857	1247.584593
858	1244.077452
859	1238.971842
860	1234.560319
861	1232.97606
862	1231.242233
863	1229.432194
864	1224.96276
865	1221.676241
866	1218.775159
867	1212.704148
868	1208.664629
869	1206.075493
870	1203.159726
871	1200.079169
872	1197.484466
873	1193.497488
874	1189.75034
875	1184.998898
876	1182.452572
877	1181.06346
878	1180.638246
879	1179.518105
880	1178.170895
881	1175.515587
882	1174.908615
883	1172.867309
884	1171.473902
885	1170.706177
886	1168.158232
887	1163.914443
888	1160.130936
889	1160.031832
890	1156.589156
891	1151.197856
892	1148.4327
893	1145.113205
894	1142.36803
895	1139.323177
896	1136.772949
897	1133.283982
898	1131.132688
899	1128.985233
900	1127.175718
901	1124.313724
902	1119.739918
903	1116.71638
904	1113.93551
905	1113.116765
906	1109.371642
907	1105.847835
908	1102.769824
909	1101.004747
910	1098.025789
911	1095.85639
912	1093.051008
913	1089.746974
914	1087.009162
915	1084.369556
916	1081.57398
917	1080.12569
918	1076.99595
919	1071.316718
920	1067.963124
921	1065.687343
922	1063.159997
923	1061.37215
924	1055.688378
925	1049.792273
926	1046.445538
927	1043.254616
928	1042.87005
929	1040.37203
930	1037.793763
931	1034.555954
932	1029.419257
933	1026.89801
934	1023.599293
935	1020.923394
936	1016.644166
937	1014.014836
938	1011.942835
939	1010.104653
940	1005.5559
941	1002.220176
942	999.6336632
943	996.679541
944	995.4567232
945	994.1535855
946	990.1457848
947	989.4547904
948	984.0763229
949	981.6257136
950	978.8207972
951	975.4592081
952	972.6714576
953	970.7607806
954	970.1053733
955	967.2579136
956	963.2979213
957	962.9834987
958	960.4400067
959	957.7999379
960	956.1961673
961	954.2960023
962	950.3285443
963	950.2891442
964	948.5000915
965	945.7877388
966	943.6961137
967	942.8872774
968	940.5917761
969	938.0274246
970	935.077088
971	933.0313799
972	930.5786903
973	927.9313649
974	923.5354632
975	919.8052804
976	916.837495
977	915.9263087
978	915.2395827
979	913.237816
980	912.8646823
981	909.8283272
982	908.8160282
983	906.6557269
984	903.5368952
985	901.8500214
986	899.6886534
987	899.3595649
988	898.9396179
989	897.9641682
990	896.7260979
991	895.0089861
992	892.340649
993	888.5968474
994	886.4313929
995	883.5573126
996	881.785641
997	878.8123659
998	877.3106195
999	875.5284114
